yearsStatistics,currentYearStatistics,thisMonthPendingOrdersStatistics,thisMonthRunningOrdersStatistics,thisMonthFinishedOrdersStatistics,thisMonthCanceledOrdersStatistics,time
"[{""year"":2021,""count"":146748,""totalPrice"":15376682},{""year"":2022,""count"":785548,""totalPrice"":82530411},{""year"":2023,""count"":637708,""totalPrice"":66947032}]","[{""month"":1,""count"":66753,""totalPrice"":7027713,""avg"":105.27935823109074},{""month"":2,""count"":60257,""totalPrice"":6333359,""avg"":105.10578024129977},{""month"":3,""count"":66257,""totalPrice"":6985629,""avg"":105.4323165854174},{""month"":4,""count"":64865,""totalPrice"":6800930,""avg"":104.84745240114083},{""month"":5,""count"":66518,""totalPrice"":6987035,""avg"":105.03976367299077},{""month"":6,""count"":65026,""totalPrice"":6829699,""avg"":105.03028019561407},{""month"":7,""count"":66763,""totalPrice"":7019996,""avg"":105.14800113835507},{""month"":8,""count"":66749,""totalPrice"":7007669,""avg"":104.98537805809825},{""month"":9,""count"":64744,""totalPrice"":6777026,""avg"":104.67419374768318},{""month"":10,""count"":66987,""totalPrice"":7040051,""avg"":105.09891766813466},{""month"":11,""count"":63924,""totalPrice"":6719867,""avg"":105.12275514673675},{""month"":12,""count"":66705,""totalPrice"":7001437,""avg"":104.96120230867251}]","[{""count"":33151,""price"":3471149,""avg"":104.71037707390649}]","[{""count"":33475,""price"":3514534,""avg"":104.9898132935026}]","[{""count"":33666,""price"":3528289,""avg"":104.80273866809243}]","[{""count"":7,""price"":440,""avg"":73.33333333333333}]","2022-10-25 01:42:19"
"[{""year"":2021,""count"":146748,""totalPrice"":15376682},{""year"":2022,""count"":785548,""totalPrice"":82530411},{""year"":2023,""count"":637708,""totalPrice"":66947032}]","[{""month"":1,""count"":66753,""totalPrice"":7027713,""avg"":105.27935823109074},{""month"":2,""count"":60257,""totalPrice"":6333359,""avg"":105.10578024129977},{""month"":3,""count"":66257,""totalPrice"":6985629,""avg"":105.4323165854174},{""month"":4,""count"":64865,""totalPrice"":6800930,""avg"":104.84745240114083},{""month"":5,""count"":66518,""totalPrice"":6987035,""avg"":105.03976367299077},{""month"":6,""count"":65026,""totalPrice"":6829699,""avg"":105.03028019561407},{""month"":7,""count"":66763,""totalPrice"":7019996,""avg"":105.14800113835507},{""month"":8,""count"":66749,""totalPrice"":7007669,""avg"":104.98537805809825},{""month"":9,""count"":64744,""totalPrice"":6777026,""avg"":104.67419374768318},{""month"":10,""count"":66987,""totalPrice"":7040051,""avg"":105.09891766813466},{""month"":11,""count"":63924,""totalPrice"":6719867,""avg"":105.12275514673675},{""month"":12,""count"":66705,""totalPrice"":7001437,""avg"":104.96120230867251}]","[{""count"":33151,""price"":3471149,""avg"":104.71037707390649}]","[{""count"":33475,""price"":3514534,""avg"":104.9898132935026}]","[{""count"":33666,""price"":3528289,""avg"":104.80273866809243}]","[{""count"":7,""price"":440,""avg"":73.33333333333333}]","2022-10-25 01:42:30"
"[{""year"":2021,""count"":146748,""totalPrice"":15376682},{""year"":2022,""count"":785548,""totalPrice"":82530411},{""year"":2023,""count"":637708,""totalPrice"":66947032}]","[{""month"":1,""count"":66753,""totalPrice"":7027713,""avg"":105.27935823109074},{""month"":2,""count"":60257,""totalPrice"":6333359,""avg"":105.10578024129977},{""month"":3,""count"":66257,""totalPrice"":6985629,""avg"":105.4323165854174},{""month"":4,""count"":64865,""totalPrice"":6800930,""avg"":104.84745240114083},{""month"":5,""count"":66518,""totalPrice"":6987035,""avg"":105.03976367299077},{""month"":6,""count"":65026,""totalPrice"":6829699,""avg"":105.03028019561407},{""month"":7,""count"":66763,""totalPrice"":7019996,""avg"":105.14800113835507},{""month"":8,""count"":66749,""totalPrice"":7007669,""avg"":104.98537805809825},{""month"":9,""count"":64744,""totalPrice"":6777026,""avg"":104.67419374768318},{""month"":10,""count"":66987,""totalPrice"":7040051,""avg"":105.09891766813466},{""month"":11,""count"":63924,""totalPrice"":6719867,""avg"":105.12275514673675},{""month"":12,""count"":66705,""totalPrice"":7001437,""avg"":104.96120230867251}]","[{""count"":33151,""price"":3471149,""avg"":104.71037707390649}]","[{""count"":33475,""price"":3514534,""avg"":104.9898132935026}]","[{""count"":33666,""price"":3528289,""avg"":104.80273866809243}]","[{""count"":7,""price"":440,""avg"":73.33333333333333}]","2022-10-25 01:42:49"
"[{""year"":2021,""count"":146748,""totalPrice"":15376682},{""year"":2022,""count"":785548,""totalPrice"":82530411},{""year"":2023,""count"":637708,""totalPrice"":66947032}]","[{""month"":1,""count"":66753,""totalPrice"":7027713,""avg"":105.27935823109074},{""month"":2,""count"":60257,""totalPrice"":6333359,""avg"":105.10578024129977},{""month"":3,""count"":66257,""totalPrice"":6985629,""avg"":105.4323165854174},{""month"":4,""count"":64865,""totalPrice"":6800930,""avg"":104.84745240114083},{""month"":5,""count"":66518,""totalPrice"":6987035,""avg"":105.03976367299077},{""month"":6,""count"":65026,""totalPrice"":6829699,""avg"":105.03028019561407},{""month"":7,""count"":66763,""totalPrice"":7019996,""avg"":105.14800113835507},{""month"":8,""count"":66749,""totalPrice"":7007669,""avg"":104.98537805809825},{""month"":9,""count"":64744,""totalPrice"":6777026,""avg"":104.67419374768318},{""month"":10,""count"":66987,""totalPrice"":7040051,""avg"":105.09891766813466},{""month"":11,""count"":63924,""totalPrice"":6719867,""avg"":105.12275514673675},{""month"":12,""count"":66705,""totalPrice"":7001437,""avg"":104.96120230867251}]","[{""count"":33151,""price"":3471149,""avg"":104.71037707390649}]","[{""count"":33475,""price"":3514534,""avg"":104.9898132935026}]","[{""count"":33666,""price"":3528289,""avg"":104.80273866809243}]","[{""count"":7,""price"":440,""avg"":73.33333333333333}]","2022-10-25 15:05:40"
"[{""year"":2021,""count"":146748,""totalPrice"":15376682},{""year"":2022,""count"":785548,""totalPrice"":82530411},{""year"":2023,""count"":637708,""totalPrice"":66947032}]","[{""month"":1,""count"":66753,""totalPrice"":7027713,""avg"":105.27935823109074},{""month"":2,""count"":60257,""totalPrice"":6333359,""avg"":105.10578024129977},{""month"":3,""count"":66257,""totalPrice"":6985629,""avg"":105.4323165854174},{""month"":4,""count"":64865,""totalPrice"":6800930,""avg"":104.84745240114083},{""month"":5,""count"":66518,""totalPrice"":6987035,""avg"":105.03976367299077},{""month"":6,""count"":65026,""totalPrice"":6829699,""avg"":105.03028019561407},{""month"":7,""count"":66763,""totalPrice"":7019996,""avg"":105.14800113835507},{""month"":8,""count"":66749,""totalPrice"":7007669,""avg"":104.98537805809825},{""month"":9,""count"":64744,""totalPrice"":6777026,""avg"":104.67419374768318},{""month"":10,""count"":66987,""totalPrice"":7040051,""avg"":105.09891766813466},{""month"":11,""count"":63924,""totalPrice"":6719867,""avg"":105.12275514673675},{""month"":12,""count"":66705,""totalPrice"":7001437,""avg"":104.96120230867251}]","[{""count"":33151,""price"":3471149,""avg"":104.71037707390649}]","[{""count"":33475,""price"":3514534,""avg"":104.9898132935026}]","[{""count"":33666,""price"":3528289,""avg"":104.80273866809243}]","[{""count"":7,""price"":440,""avg"":73.33333333333333}]","2022-10-25 17:41:44"
"[{""year"":2021,""count"":146748,""totalPrice"":15376682},{""year"":2022,""count"":785548,""totalPrice"":82530411},{""year"":2023,""count"":637708,""totalPrice"":66947032}]","[{""month"":1,""count"":66753,""totalPrice"":7027713,""avg"":105.27935823109074},{""month"":2,""count"":60257,""totalPrice"":6333359,""avg"":105.10578024129977},{""month"":3,""count"":66257,""totalPrice"":6985629,""avg"":105.4323165854174},{""month"":4,""count"":64865,""totalPrice"":6800930,""avg"":104.84745240114083},{""month"":5,""count"":66518,""totalPrice"":6987035,""avg"":105.03976367299077},{""month"":6,""count"":65026,""totalPrice"":6829699,""avg"":105.03028019561407},{""month"":7,""count"":66763,""totalPrice"":7019996,""avg"":105.14800113835507},{""month"":8,""count"":66749,""totalPrice"":7007669,""avg"":104.98537805809825},{""month"":9,""count"":64744,""totalPrice"":6777026,""avg"":104.67419374768318},{""month"":10,""count"":66987,""totalPrice"":7040051,""avg"":105.09891766813466},{""month"":11,""count"":63924,""totalPrice"":6719867,""avg"":105.12275514673675},{""month"":12,""count"":66705,""totalPrice"":7001437,""avg"":104.96120230867251}]","[{""count"":33151,""price"":3471149,""avg"":104.71037707390649}]","[{""count"":33475,""price"":3514534,""avg"":104.9898132935026}]","[{""count"":33666,""price"":3528289,""avg"":104.80273866809243}]","[{""count"":7,""price"":440,""avg"":73.33333333333333}]","2022-10-25 17:44:35"
"[{""year"":2021,""count"":146748,""totalPrice"":15376682},{""year"":2022,""count"":785548,""totalPrice"":82530411},{""year"":2023,""count"":637708,""totalPrice"":66947032}]","[{""month"":1,""count"":66753,""totalPrice"":7027713,""avg"":105.27935823109074},{""month"":2,""count"":60257,""totalPrice"":6333359,""avg"":105.10578024129977},{""month"":3,""count"":66257,""totalPrice"":6985629,""avg"":105.4323165854174},{""month"":4,""count"":64865,""totalPrice"":6800930,""avg"":104.84745240114083},{""month"":5,""count"":66518,""totalPrice"":6987035,""avg"":105.03976367299077},{""month"":6,""count"":65026,""totalPrice"":6829699,""avg"":105.03028019561407},{""month"":7,""count"":66763,""totalPrice"":7019996,""avg"":105.14800113835507},{""month"":8,""count"":66749,""totalPrice"":7007669,""avg"":104.98537805809825},{""month"":9,""count"":64744,""totalPrice"":6777026,""avg"":104.67419374768318},{""month"":10,""count"":66987,""totalPrice"":7040051,""avg"":105.09891766813466},{""month"":11,""count"":63924,""totalPrice"":6719867,""avg"":105.12275514673675},{""month"":12,""count"":66705,""totalPrice"":7001437,""avg"":104.96120230867251}]","[{""count"":33151,""price"":3471149,""avg"":104.71037707390649}]","[{""count"":33475,""price"":3514534,""avg"":104.9898132935026}]","[{""count"":33666,""price"":3528289,""avg"":104.80273866809243}]","[{""count"":7,""price"":440,""avg"":73.33333333333333}]","2022-10-25 17:45:02"
"[{""year"":2021,""count"":146748,""totalPrice"":15376682},{""year"":2022,""count"":785548,""totalPrice"":82530411},{""year"":2023,""count"":637708,""totalPrice"":66947032}]","[{""month"":1,""count"":66753,""totalPrice"":7027713,""avg"":105.27935823109074},{""month"":2,""count"":60257,""totalPrice"":6333359,""avg"":105.10578024129977},{""month"":3,""count"":66257,""totalPrice"":6985629,""avg"":105.4323165854174},{""month"":4,""count"":64865,""totalPrice"":6800930,""avg"":104.84745240114083},{""month"":5,""count"":66518,""totalPrice"":6987035,""avg"":105.03976367299077},{""month"":6,""count"":65026,""totalPrice"":6829699,""avg"":105.03028019561407},{""month"":7,""count"":66763,""totalPrice"":7019996,""avg"":105.14800113835507},{""month"":8,""count"":66749,""totalPrice"":7007669,""avg"":104.98537805809825},{""month"":9,""count"":64744,""totalPrice"":6777026,""avg"":104.67419374768318},{""month"":10,""count"":66987,""totalPrice"":7040051,""avg"":105.09891766813466},{""month"":11,""count"":63924,""totalPrice"":6719867,""avg"":105.12275514673675},{""month"":12,""count"":66705,""totalPrice"":7001437,""avg"":104.96120230867251}]","[{""count"":33151,""price"":3471149,""avg"":104.71037707390649}]","[{""count"":33475,""price"":3514534,""avg"":104.9898132935026}]","[{""count"":33666,""price"":3528289,""avg"":104.80273866809243}]","[{""count"":7,""price"":440,""avg"":73.33333333333333}]","2022-10-25 17:52:37"
"[{""year"":2021,""count"":146748,""totalPrice"":15376682},{""year"":2022,""count"":785548,""totalPrice"":82530411},{""year"":2023,""count"":637708,""totalPrice"":66947032}]","[{""month"":1,""count"":66753,""totalPrice"":7027713,""avg"":105.27935823109074},{""month"":2,""count"":60257,""totalPrice"":6333359,""avg"":105.10578024129977},{""month"":3,""count"":66257,""totalPrice"":6985629,""avg"":105.4323165854174},{""month"":4,""count"":64865,""totalPrice"":6800930,""avg"":104.84745240114083},{""month"":5,""count"":66518,""totalPrice"":6987035,""avg"":105.03976367299077},{""month"":6,""count"":65026,""totalPrice"":6829699,""avg"":105.03028019561407},{""month"":7,""count"":66763,""totalPrice"":7019996,""avg"":105.14800113835507},{""month"":8,""count"":66749,""totalPrice"":7007669,""avg"":104.98537805809825},{""month"":9,""count"":64744,""totalPrice"":6777026,""avg"":104.67419374768318},{""month"":10,""count"":66987,""totalPrice"":7040051,""avg"":105.09891766813466},{""month"":11,""count"":63924,""totalPrice"":6719867,""avg"":105.12275514673675},{""month"":12,""count"":66705,""totalPrice"":7001437,""avg"":104.96120230867251}]","[{""count"":33151,""price"":3471149,""avg"":104.71037707390649}]","[{""count"":33475,""price"":3514534,""avg"":104.9898132935026}]","[{""count"":33666,""price"":3528289,""avg"":104.80273866809243}]","[{""count"":7,""price"":440,""avg"":73.33333333333333}]","2022-10-25 17:52:48"
"[{""year"":2021,""count"":146748,""totalPrice"":15376682},{""year"":2022,""count"":785548,""totalPrice"":82530411},{""year"":2023,""count"":637708,""totalPrice"":66947032}]","[{""month"":1,""count"":66753,""totalPrice"":7027713,""avg"":105.27935823109074},{""month"":2,""count"":60257,""totalPrice"":6333359,""avg"":105.10578024129977},{""month"":3,""count"":66257,""totalPrice"":6985629,""avg"":105.4323165854174},{""month"":4,""count"":64865,""totalPrice"":6800930,""avg"":104.84745240114083},{""month"":5,""count"":66518,""totalPrice"":6987035,""avg"":105.03976367299077},{""month"":6,""count"":65026,""totalPrice"":6829699,""avg"":105.03028019561407},{""month"":7,""count"":66763,""totalPrice"":7019996,""avg"":105.14800113835507},{""month"":8,""count"":66749,""totalPrice"":7007669,""avg"":104.98537805809825},{""month"":9,""count"":64744,""totalPrice"":6777026,""avg"":104.67419374768318},{""month"":10,""count"":66987,""totalPrice"":7040051,""avg"":105.09891766813466},{""month"":11,""count"":63924,""totalPrice"":6719867,""avg"":105.12275514673675},{""month"":12,""count"":66705,""totalPrice"":7001437,""avg"":104.96120230867251}]","[{""count"":33151,""price"":3471149,""avg"":104.71037707390649}]","[{""count"":33475,""price"":3514534,""avg"":104.9898132935026}]","[{""count"":33666,""price"":3528289,""avg"":104.80273866809243}]","[{""count"":7,""price"":440,""avg"":73.33333333333333}]","2022-10-25 17:53:12"
"[{""year"":2021,""count"":146748,""totalPrice"":15376682},{""year"":2022,""count"":785548,""totalPrice"":82530411},{""year"":2023,""count"":637708,""totalPrice"":66947032}]","[{""month"":1,""count"":66753,""totalPrice"":7027713,""avg"":105.27935823109074},{""month"":2,""count"":60257,""totalPrice"":6333359,""avg"":105.10578024129977},{""month"":3,""count"":66257,""totalPrice"":6985629,""avg"":105.4323165854174},{""month"":4,""count"":64865,""totalPrice"":6800930,""avg"":104.84745240114083},{""month"":5,""count"":66518,""totalPrice"":6987035,""avg"":105.03976367299077},{""month"":6,""count"":65026,""totalPrice"":6829699,""avg"":105.03028019561407},{""month"":7,""count"":66763,""totalPrice"":7019996,""avg"":105.14800113835507},{""month"":8,""count"":66749,""totalPrice"":7007669,""avg"":104.98537805809825},{""month"":9,""count"":64744,""totalPrice"":6777026,""avg"":104.67419374768318},{""month"":10,""count"":66987,""totalPrice"":7040051,""avg"":105.09891766813466},{""month"":11,""count"":63924,""totalPrice"":6719867,""avg"":105.12275514673675},{""month"":12,""count"":66705,""totalPrice"":7001437,""avg"":104.96120230867251}]","[{""count"":33151,""price"":3471149,""avg"":104.71037707390649}]","[{""count"":33475,""price"":3514534,""avg"":104.9898132935026}]","[{""count"":33666,""price"":3528289,""avg"":104.80273866809243}]","[{""count"":7,""price"":440,""avg"":73.33333333333333}]","2022-10-25 17:53:22"
